company_id,role,z_label,C_logit
Education Holdings 1,Analyst,2,-0.7386177796574379
Education Holdings 1,Analyst,3,0.18163386326949638
Education Holdings 1,Operator,1,0.25008073935972286
Education Holdings 1,Operator,2,0.377806189091463
Education Holdings 1,Operator,3,-0.6278869284512077
Electroglas,Analyst,1,0.5739270726787687
Electroglas,Analyst,2,-0.7494697257247962
Electroglas,Analyst,3,0.1755426530460201
Electroglas,Operator,1,0.2485051617142996
Electroglas,Operator,2,0.3848204697264406
Electroglas,Operator,3,-0.633325631440762
Empresas ICA SAB de CV,Analyst,1,0.6244647002591068
Empresas ICA SAB de CV,Analyst,2,-0.781528681584518
Empresas ICA SAB de CV,Analyst,3,0.1570639813254043
Empresas ICA SAB de CV,CEO,1,1.4241365775875168
Empresas ICA SAB de CV,CEO,2,-0.7293724659997755
Empresas ICA SAB de CV,CEO,3,-0.6947641115877582
Empresas ICA SAB de CV,CFO,1,0.6920429892172892
Empresas ICA SAB de CV,CFO,2,-0.3061171227180816
